title,keywords,group,link,pdf,abstract
Safety Assurance for Systems with Machine Learning Components,"Safety, Verification, Neural Networks, Bayesian Learning, Testing, Deep Learning, Machine Learning, Formal Methods, Reinforcement Learning, Validation, AI Safety","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17864,https://ojs.aaai.org/index.php/AAAI/article/view/17864/17669,Abstract
"Towards Fair, Equitable, and Efficient Peer Review","Peer-review, Human-ai Collaboration, Fairness, Hypothesis Testing, Human-subject Experiments","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17865,https://ojs.aaai.org/index.php/AAAI/article/view/17865/17670,Abstract
Multi-agent Reinforcement Learning for Decentralized Coalition Formation Games,"Matching, Coalition Formation, Multi-agent Reinforcement Learning, Decentralized Learning","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17866,https://ojs.aaai.org/index.php/AAAI/article/view/17866/17671,Abstract
Distributed Situation Awareness for Multi-agent Mission in Dynamic Environments- A Case Study of Multi-UAVs Wildfires Searching,"Multi-agent System, Multi-agent Learning, Situation Awareness, Optimisation","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17867,https://ojs.aaai.org/index.php/AAAI/article/view/17867/17672,Abstract
How Human Centered AI Will Contribute Towards Intelligent Gaming Systems,"Human-Centered AI, Intelligent Gaming Systems, Behavior Prediction, Multimodal Machine Learning, Reinforcement Learning","Special Programs and Special Track, Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium",https://ojs.aaai.org/index.php/AAAI/article/view/17868,https://ojs.aaai.org/index.php/AAAI/article/view/17868/17673,Abstract
Role of Optimizer on Network Fine-tuning for Adversarial Robustness (Student Abstract),"Adversarial Robustness, COmputer Vision, CNN, Object Recognition","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17869,https://ojs.aaai.org/index.php/AAAI/article/view/17869/17674,Abstract
A Serverless Approach to Federated Learning Infrastructure Oriented for IoT-Edge Data Sources (Student Abstract),"Federated Learning, Distributed Machine Learning, Mobile Relay, Machine Learning, Iot, Edge","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17870,https://ojs.aaai.org/index.php/AAAI/article/view/17870/17675,Abstract
Reward based Hebbian Learning in Direct Feedback Alignment (Student Abstract),"Hebbian Learning, Direct Feedback Alignment, Reinforcement Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17871,https://ojs.aaai.org/index.php/AAAI/article/view/17871/17676,Abstract
Clustering Partial Lexicographic Preference Trees (Student Abstract),"Preferences, Clustering, Decision Theory, Visual Analytics","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17872,https://ojs.aaai.org/index.php/AAAI/article/view/17872/17677,Abstract
Logic Guided Genetic Algorithms (Student Abstract),"Symbolic Regression, Genetic Algorithms, Constraint Driven Search, Data Augmentation, Data Efficiency","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17873,https://ojs.aaai.org/index.php/AAAI/article/view/17873/17678,Abstract
Responsible Prediction Making of COVID-19 Mortality (Student Abstract),"Responsible Artificial Intelligence, Explainable Artificial Intelligence, COVID-19, Decision Making","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17874,https://ojs.aaai.org/index.php/AAAI/article/view/17874/17679,Abstract
Encoding Temporal and Spatial Vessel Context using Self-Supervised Learning Model (Student Abstract),"Self-supervised Learning, Representation Learning, Maritime Surveillance","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17875,https://ojs.aaai.org/index.php/AAAI/article/view/17875/17680,Abstract
Unsupervised Causal Knowledge Extraction from Text using Natural Language Inference (Student Abstract),"Knowledge Graph Construction, Applications, Information Extraction","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17876,https://ojs.aaai.org/index.php/AAAI/article/view/17876/17681,Abstract
Early Prediction of Children’s Task Completion in a Tablet Tutor using Visual Features (Student Abstract),"Student Disengagement, Intelligent Tutoring Systems, Computer Vision, Deep Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17877,https://ojs.aaai.org/index.php/AAAI/article/view/17877/17682,Abstract
Fair Stable Matchings Under Correlated Preferences (Student Abstract),"Stable Matchings, Fairness, Multiagent Systems","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17878,https://ojs.aaai.org/index.php/AAAI/article/view/17878/17683,Abstract
BOSS- A Bi-directional Search Technique for Optimal Coalition Structure Generation with Minimal Overlapping (Student Abstract),"Multiagent Systems, Optimization, Game Theory, Coalition Structure Generation, Coalition Formation","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17879,https://ojs.aaai.org/index.php/AAAI/article/view/17879/17684,Abstract
NEAP-F- Network Epoch Accuracy Prediction Framework (Student Abstract),"Deep Learning, Performance Prediction, Neural Architecture Search, Network Architecture, Accuracy, Image Datasets, Skip Connections","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17880,https://ojs.aaai.org/index.php/AAAI/article/view/17880/17685,Abstract
"Robotic Manipulation with Reinforcement Learning, State Representation Learning, and Imitation Learning (Student Abstract)","Robotic Manipulation, Reinforcement Learning, State Representation Learning, Imitation Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17881,https://ojs.aaai.org/index.php/AAAI/article/view/17881/17686,Abstract
Multi-modal User Intent Classification Under the Scenario of Smart Factory (Student Abstract),"Dialog System, Multi-modal, User Intent Classification, Human-agent Interaction","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17882,https://ojs.aaai.org/index.php/AAAI/article/view/17882/17687,Abstract
Passive learning of Timed Automata from logs (Student Abstract),"Timed Automata, Automata Learning, Log Analysis","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17883,https://ojs.aaai.org/index.php/AAAI/article/view/17883/17688,Abstract
Reducing Neural Network Parameter Initialization Into an SMT Problem (Student Abstract),"Deep Neural Networks, Deep Learning, SMT Solver, Initialization","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17884,https://ojs.aaai.org/index.php/AAAI/article/view/17884/17689,Abstract
Incorporating Curiosity into Personalized Ranking for Collaborative Filtering (Student Abstract),"Recommender System, Social Network, Curiosity Psychology","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17885,https://ojs.aaai.org/index.php/AAAI/article/view/17885/17690,Abstract
Demonstrating the Equivalence of List Based and Aggregate Metrics to Measure the Diversity of Recommendations (Student Abstract),"Recommender Systems, Beyond Accuracy, Diversity, Evaluation Metric, Herfindahl Index, Hamming Diversity, Mean Inter-List Diversity","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17886,https://ojs.aaai.org/index.php/AAAI/article/view/17886/17691,Abstract
Improving Aerial Instance Segmentation in the Dark with Self-Supervised Low Light Enhancement (Student Abstract),"Instance Segmentation, Visibility Enhancement, Low Light, Deep Learning, Generative Networks","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17887,https://ojs.aaai.org/index.php/AAAI/article/view/17887/17692,Abstract
Detecting Lexical Semantic Change across Corpora with Smooth Manifolds (Student Abstract),"Riemannian Geometry, Smooth Manifolds, Matrix Manifolds, Manifold Optimization, Diachronic Embeddings, Lexical Semantic Change","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17888,https://ojs.aaai.org/index.php/AAAI/article/view/17888/17693,Abstract
Evaluating Meta-Reinforcement Learning through a HVAC Control Benchmark (Student Abstract),"Reinforcement Learning, Meta Reinforcement Learning, Benchmarks, Energy, Heating Ventilation And Airconditioning Control, Energy Markets","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17889,https://ojs.aaai.org/index.php/AAAI/article/view/17889/17694,Abstract
RGB-D Scene Recognition based on Object-Scene Relation (Student Abstract),"RGB-D Scene Recognition, Semantic Domain, Appearance Domain","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17890,https://ojs.aaai.org/index.php/AAAI/article/view/17890/17695,Abstract
Global Fusion Attention for Vision and Language Understanding (Student Abstract),"Vision And Language Understanding, Attention Mechanism, Multimodal","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17891,https://ojs.aaai.org/index.php/AAAI/article/view/17891/17696,Abstract
Text Embedding Bank for Detailed Image Paragraph Captioning,"Machine Learning, Image Captioning, Natural Language Processing","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17892,https://ojs.aaai.org/index.php/AAAI/article/view/17892/17697,Abstract
Reinforcement Based Learning on Classification Task Yields Better Generalization and Adversarial Accuracy (Student Abstract),"Adversarial Learning & Robustness, Robust Optimization, Adversarial Examples, Image Classification, Reinforcement Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17893,https://ojs.aaai.org/index.php/AAAI/article/view/17893/17698,Abstract
"Pedestrians Intention Recognition, Fusion of Handcrafted Features in a Deep Learning Approach","Intention Recognition, Deep Learning, Feature Fusion, Computer Vision, ADAS, Autonomous Vehicles","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17894,https://ojs.aaai.org/index.php/AAAI/article/view/17894/17699,Abstract
EC-GAN- Low-Sample Classification using Semi-Supervised Algorithms and GANs (Student Abstract),"GANs, Semi-supervised Algorithms, Image Classification, Generative Models, Adversarial Training","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17895,https://ojs.aaai.org/index.php/AAAI/article/view/17895/17700,Abstract
Comparing Symbolic Models of Language via Bayesian Inference (Student Abstract),"Computational Cognitive Modeling, Computational Linguistics, Bayesian Inference, Knowledge Representation, Probabilistic Reasoning, Statistical Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17896,https://ojs.aaai.org/index.php/AAAI/article/view/17896/17701,Abstract
Dethroning Aristocracy in Graphs via Adversarial Perturbations (Student Abstract),"Graph Representation Learning, Adversarial Attacks And Robustness, Representation Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17897,https://ojs.aaai.org/index.php/AAAI/article/view/17897/17702,Abstract
HetSAGE- Heterogenous Graph Neural Network for Relational Learning (Student Abstract),"Neuro-symbolic, Graph Neural Network, Inductive Logic Programming, Inductive Learning, Knowledge Graphs, Relational Learning, Heterogeneous Graphs","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17898,https://ojs.aaai.org/index.php/AAAI/article/view/17898/17703,Abstract
Rotation-Invariant Gait Identification with Quaternion Convolutional Neural Networks (Student Abstract),"Equivariant ML, Robustness ML, Gait Biometrics, On-device ML","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17899,https://ojs.aaai.org/index.php/AAAI/article/view/17899/17704,Abstract
Gradient-Based Localization and Spatial Attention for Confidence Measure in Fine-Grained Recognition using Deep Neural Networks,"Fine-Grained Recognition, Deep Learning, Wildlife, Classification","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17900,https://ojs.aaai.org/index.php/AAAI/article/view/17900/17705,Abstract
Compilation Complexity of Multi-Winner Voting Rules (Student Abstract),"Social Choice, Voting Rules, Multiwinner, Compilation Complexity","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17901,https://ojs.aaai.org/index.php/AAAI/article/view/17901/17706,Abstract
A Deep Learning Framework for Improving Lameness Identification in Dairy Cattle,"Classification, Data Augmentation, Dairy Cattle, Lamness","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17902,https://ojs.aaai.org/index.php/AAAI/article/view/17902/17707,Abstract
An Unfair Affinity Toward Fairness- Characterizing 70 Years of Social Biases in BHollywood (Student Abstract),"Bias, Language Model, Natural Language Processing, Sexism, Bollywood","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17903,https://ojs.aaai.org/index.php/AAAI/article/view/17903/17708,Abstract
Leveraging on Deep Reinforcement Learning for Autonomous Safe Decision-Making in Highway On-ramp Merging (Student Abstract),"Deep Reinforcement Learning, Autonomous Driving, Highway On-ramp Merging, Drivers’ Intentions Prediction","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17904,https://ojs.aaai.org/index.php/AAAI/article/view/17904/17709,Abstract
Robustness to Missing Features using Hierarchical Clustering with Split Neural Networks (Student Abstract),"Missing Features, Hierarchical Clustering, Neural Networks","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17905,https://ojs.aaai.org/index.php/AAAI/article/view/17905/17710,Abstract
Is Active Learning Always Beneficial- (Student Abstract),"Active Learning, Curriculum Learning, Curiosity-driven Learning, Deep Learning, Category Recognition","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17906,https://ojs.aaai.org/index.php/AAAI/article/view/17906/17711,Abstract
Domain Generalisation with Domain Augmented Supervised Contrastive Learning (Student Abstract),"Domain Generalisation, Data Augmentation, Non-i.i.d Setting","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17907,https://ojs.aaai.org/index.php/AAAI/article/view/17907/17712,Abstract
A Nested Named Entity Recognition Model Based on Multi-agent Communication Mechanism (Student Abstract),"Information Extraction, Multiagent Systems, Knowledge Discovery","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17908,https://ojs.aaai.org/index.php/AAAI/article/view/17908/17713,Abstract
Melodic Phrase Attention Network for Symbolic Data-based Music Genre Classification (Student Abstract),"Music Genre Classification, Music Information Retrieval, Deep Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17909,https://ojs.aaai.org/index.php/AAAI/article/view/17909/17714,Abstract
Towards Sample Efficient Agents through Algorithmic Alignment (Student Abstract),"Sample Efficiency, Reinforcement Learning, Algorithmic Alignment, Graph Network, Value Iteration","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17910,https://ojs.aaai.org/index.php/AAAI/article/view/17910/17715,Abstract
Information Block Detection in Infographic Based on Spatial Proximity and Structural Similarity (Student Abstract),"Infographic Understanding, Information Block Detection, Gestalt Organization Principle","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17911,https://ojs.aaai.org/index.php/AAAI/article/view/17911/17716,Abstract
A Quantum-inspired Complex-valued Representation for Encoding Sentiment Information (Student Abstract),"Word Embedding, Sentiment Analysis, Quantum Theory","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17912,https://ojs.aaai.org/index.php/AAAI/article/view/17912/17717,Abstract
An Attention Based Multi-view Model for Sarcasm Cause Detection (Student Abstract),"Sarcasm Cause Detection, Attention Mechanism, Multi-view Manner","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17913,https://ojs.aaai.org/index.php/AAAI/article/view/17913/17718,Abstract
Semi-Discrete Social Recommendation (Student Abstract),"Social Recommendation, Matrix Factorization, Network Embedding, Learning To Hash","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17914,https://ojs.aaai.org/index.php/AAAI/article/view/17914/17719,Abstract
Generating Adversarial yet Inconspicuous Patches with a Single Image (Student Abstract),"Adversarial Example, Adversarial Attack, GAN, Deep Learning, Machine Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17915,https://ojs.aaai.org/index.php/AAAI/article/view/17915/17720,Abstract
A Context Aware Approach for Generating Natural Language Attacks,"Adversarial Attacks, Adversarial Attacks And Robustness, NLP Applications, Natural Language Processing","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17916,https://ojs.aaai.org/index.php/AAAI/article/view/17916/17721,Abstract
RL Generalization in a Theory of Mind Game Through a Sleep Metaphor (Student Abstract),"Reinforcement Learning, Game Playing, Generalization, Theory Of Mind","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17917,https://ojs.aaai.org/index.php/AAAI/article/view/17917/17722,Abstract
Improving the Performance-Compatibility Tradeoff with Personalized Objective Functions (Student Abstract),"Human Computer Interaction, Machine Learning, Sample Reweighting","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17918,https://ojs.aaai.org/index.php/AAAI/article/view/17918/17723,Abstract
Detection of Digital Manipulation in Facial Images (Student Abstract),"Deepfake Detection, Bias, Media Forensics, 3D ConvNets, Motion Magnification, Computer Vision, Face Recognition","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17919,https://ojs.aaai.org/index.php/AAAI/article/view/17919/17724,Abstract
Source Separation and Depthwise Separable Convolutions for Computer Audition (Student Abstract),"Computer Audition, Music Information Retrieval, Deep Learning, Signal Processing, Representation Learning","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17920,https://ojs.aaai.org/index.php/AAAI/article/view/17920/17725,Abstract
Toward Determining NFA Equivalence via QBFs (Student Abstract),"SAT, QBF, QSAT, Automata","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17921,https://ojs.aaai.org/index.php/AAAI/article/view/17921/17726,Abstract
Two-Sided Fairness in Non-Personalised Recommendations (Student Abstract),"Fairness, Recommender Systems, Social Choice Theory, Bias","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17922,https://ojs.aaai.org/index.php/AAAI/article/view/17922/17727,Abstract
Shallow-UWnet- Compressed Model for Underwater Image Enhancement (Student Abstract),"Model Compression And Acceleration, Underwater Image Enhancement, Low-light Image Enhancement, Convolutional Neural Network","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17923,https://ojs.aaai.org/index.php/AAAI/article/view/17923/17728,Abstract
Improving Label Noise Robustness with Data Augmentation and Semi-Supervised Learning (Student Abstract),"Learning With Noisy Labels, Label Noise Robustness, Data Augmentation, Semi-Supervised Learning, Image Classification","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17924,https://ojs.aaai.org/index.php/AAAI/article/view/17924/17729,Abstract
Deep Reinforcement Learning for a Dictionary Based Compression Schema (Student Abstract),"Compression, Reinforcement Learning, Lempel–Ziv–Welch Algorithm","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17925,https://ojs.aaai.org/index.php/AAAI/article/view/17925/17730,Abstract
A Method for Taxonomy-Aware Embeddings Evaluation (Student Abstract),"Embedding-evaluation, Word Embeddings, Semantic Web","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17926,https://ojs.aaai.org/index.php/AAAI/article/view/17926/17731,Abstract
Solving JumpIN’ Using Zero-Dependency Reinforcement Learning (Student Abstract),"Reinforcement Learning, Single-player Game, Q-learning, JumpIN'","Special Programs and Special Track, Student Papers and Demonstrations: AAAI Student Abstract and Poster Program",https://ojs.aaai.org/index.php/AAAI/article/view/17927,https://ojs.aaai.org/index.php/AAAI/article/view/17927/17732,Abstract
